id,submitdate,lastpage,startlanguage,seed,startdate,datestamp,G01Q01,G01Q02,G01Q02[other],G01Q03,G01Q04,G02Q05[SQ002],G02Q05[SQ003],G02Q05[SQ004],G02Q05[SQ005],G02Q05[SQ006],G02Q05[SQ007],G03Q06[SQ002],G03Q06[SQ003],G03Q06[SQ004],G03Q06[SQ005],G03Q06[SQ006],G03Q06[SQ007],G03Q06[SQ008],G04Q07[SQ001],G04Q07[SQ002],G04Q07[SQ003],G04Q07[SQ004],G04Q07[SQ005],G04Q07[SQ006],G04Q07[SQ007],G04Q07[SQ008],G04Q07[SQ009],G04Q07[SQ010],G04Q07[SQ011],G04Q07[SQ012],G04Q07[SQ013],G04Q07[SQ014],G04Q07[SQ015],G04Q07[SQ016],G04Q07[SQ017],G04Q07[SQ018],G04Q07[SQ019],G04Q07[SQ020],G04Q07[SQ021],G04Q07[SQ022],G04Q07[SQ023],G04Q07[SQ024]
1,,1,de,456802361,2023-10-31 10:11:55,2023-10-31 10:12:13,Männlich,Deutschland,,2004,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2023-10-31 10:18:54,4,de,1347117140,2023-10-31 10:12:36,2023-10-31 10:18:54,Männlich,Österreich,,1995,N,1,1,1,3,4,1,2,1,3,2,2,3,2,1,3,1,1,2,3,2,3,5,5,5,5,4,3,1,1,3,4,3,5,3,2,4,5
3,2023-10-31 10:55:23,4,de,177099990,2023-10-31 10:50:00,2023-10-31 10:55:23,Männlich,Österreich,,2002,N,1,1,1,2,3,1,2,2,2,2,1,3,1,2,2,2,1,1,4,3,2,4,5,4,4,5,5,4,2,2,2,5,4,5,1,3,5
4,2023-11-02 18:37:41,4,de,1645883474,2023-11-02 18:25:21,2023-11-02 18:37:41,Weiblich,Österreich,,2002,N,2,4,2,5,1,1,1,1,2,2,1,2,2,3,5,1,2,2,4,2,1,2,4,5,2,1,2,2,2,1,3,2,4,4,2,3,1
5,2023-11-02 21:55:26,4,de,1977868712,2023-11-02 21:51:08,2023-11-02 21:55:26,Männlich,Österreich,,2002,N,2,1,1,1,2,2,2,1,1,3,2,2,1,2,2,2,2,1,4,4,2,2,1,1,2,1,1,1,2,2,3,3,2,3,3,2,3
6,2023-11-03 10:07:57,4,de,1487652117,2023-11-03 10:00:28,2023-11-03 10:07:57,Männlich,Österreich,,2000,,1,3,2,4,3,2,2,1,3,2,3,2,2,1,4,2,3,3,2,3,3,4,5,5,5,1,1,2,1,2,3,2,2,1,1,1,1
7,2023-11-03 10:17:34,4,de,1835693653,2023-11-03 10:11:56,2023-11-03 10:17:34,Männlich,Österreich,,2000,N,2,1,2,4,1,1,3,5,2,4,2,4,3,1,4,2,2,1,1,1,2,1,2,1,4,1,3,2,3,1,5,1,4,1,1,2,1
8,2023-11-03 10:17:48,4,de,1854551891,2023-11-03 10:13:42,2023-11-03 10:17:48,Männlich,Österreich,,2000,N,2,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,4,4,2,2,2,2,4,2,4,4,3,4,2,2,2,2,2,2,5,4
9,2023-11-03 11:00:15,4,de,751804053,2023-11-03 10:53:59,2023-11-03 11:00:15,Männlich,Österreich,,1987,Y,3,3,3,3,3,3,3,3,3,3,3,3,2,3,2,1,1,1,1,1,2,4,2,2,1,2,5,3,5,4,4,4,5,3,3,3,3
10,2023-11-03 11:03:14,4,de,1920830571,2023-11-03 10:56:50,2023-11-03 11:03:14,Weiblich,Österreich,,1998,N,2,3,4,2,3,5,4,4,5,5,4,4,3,4,2,3,3,1,3,2,3,2,4,4,4,4,2,3,4,3,5,5,4,2,4,3,2
11,2023-11-03 11:06:55,4,de,1227294351,2023-11-03 11:00:40,2023-11-03 11:06:55,Männlich,Österreich,,2001,N,1,1,1,3,1,2,1,1,1,1,2,1,1,1,2,1,1,3,4,1,1,5,5,5,4,1,2,1,1,2,1,1,1,2,3,3,4
12,2023-11-03 11:07:32,4,de,1151739097,2023-11-03 11:02:01,2023-11-03 11:07:32,Männlich,Österreich,,2003,N,1,1,1,1,2,2,1,1,2,1,2,2,1,3,3,2,2,2,3,3,4,2,2,3,3,3,3,2,3,3,3,3,3,3,3,4,4
13,2023-11-03 11:07:25,4,de,1234572920,2023-11-03 11:03:53,2023-11-03 11:07:25,Männlich,-oth-,Niederlande,2001,N,2,2,1,3,1,2,1,1,3,2,2,2,1,1,3,1,1,2,3,4,3,4,5,4,4,2,3,3,4,2,4,3,4,2,4,2,1
14,2023-11-03 11:10:09,4,de,2037265502,2023-11-03 11:06:53,2023-11-03 11:10:09,Weiblich,Österreich,,2002,N,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,2,1,3,3,4,4,3,4,3,3,3,2,2,2,2,2,3,3,2,3
15,2023-11-03 11:36:57,4,de,353318303,2023-11-03 11:31:31,2023-11-03 11:36:57,Männlich,Österreich,,2000,N,3,3,3,2,3,2,2,2,2,2,2,2,2,2,4,3,3,2,3,3,2,2,3,2,2,2,3,2,3,2,2,2,3,2,3,3,3
16,2023-11-03 11:44:06,4,de,1205105403,2023-11-03 11:37:10,2023-11-03 11:44:06,Weiblich,Österreich,,2003,N,3,2,1,2,2,3,1,1,3,2,3,2,2,2,3,2,1,4,4,2,2,1,3,2,2,3,2,2,3,3,4,3,3,3,3,2,5
17,2023-11-03 11:48:44,4,de,1180168401,2023-11-03 11:38:20,2023-11-03 11:48:44,Männlich,Österreich,,2000,N,2,2,1,1,2,1,1,1,3,1,4,1,1,2,1,3,3,5,5,4,2,1,4,3,5,1,1,3,2,4,4,5,5,2,2,5,4
18,2023-11-03 11:50:32,4,de,1454457677,2023-11-03 11:45:14,2023-11-03 11:50:32,Weiblich,Österreich,,2004,N,1,4,3,3,1,3,3,2,1,1,1,3,3,3,4,2,3,2,2,2,3,2,2,2,2,1,2,1,1,1,2,2,3,3,3,3,4
19,2023-11-03 11:52:17,4,de,1697364705,2023-11-03 11:47:06,2023-11-03 11:52:17,Männlich,Österreich,,97,Y,1,1,1,2,1,1,1,1,1,1,4,3,2,2,5,4,2,1,1,1,2,1,1,2,5,1,3,2,4,2,1,3,4,2,3,2,4
20,2023-11-03 11:55:31,4,de,1971438635,2023-11-03 11:47:34,2023-11-03 11:55:31,Männlich,Deutschland,,2004,N,4,2,1,3,2,1,2,1,4,2,2,3,2,4,3,1,2,4,5,3,3,4,2,5,4,2,3,1,2,4,2,1,3,2,2,2,2
21,,3,de,2097037261,2023-11-03 11:48:22,2023-11-03 11:50:26,Männlich,-oth-,Italien,2001,N,5,5,5,5,5,5,1,1,4,1,3,3,1,,,,,,,,,,,,,,,,,,,,,,,,
22,2023-11-03 13:40:13,4,de,620089888,2023-11-03 13:33:56,2023-11-03 13:40:12,Männlich,Österreich,,2003,Y,1,1,1,2,1,1,2,1,2,2,1,3,2,3,4,2,1,1,4,5,5,1,1,1,1,1,5,1,1,1,1,1,1,5,5,5,5
23,2023-11-03 13:59:48,4,de,1849153319,2023-11-03 13:54:37,2023-11-03 13:59:48,Männlich,Deutschland,,1984,Y,1,2,2,2,1,1,2,2,2,4,4,3,1,1,2,1,2,4,3,3,4,4,5,4,4,4,4,3,2,3,3,3,4,4,3,3,5
24,2023-11-03 14:40:15,4,de,1173041787,2023-11-03 14:31:56,2023-11-03 14:40:15,Männlich,Österreich,,2002,N,1,2,3,2,1,3,2,1,2,1,3,2,1,1,3,2,1,1,2,2,2,4,3,3,3,2,1,2,2,1,2,2,2,1,2,2,3
25,2023-11-03 15:42:47,4,de,715065163,2023-11-03 15:37:59,2023-11-03 15:42:47,Männlich,-oth-,Italien,2003,N,3,1,1,1,1,1,1,1,3,1,2,2,1,2,3,1,1,2,2,1,3,2,2,3,2,1,2,3,2,2,2,1,4,2,1,3,3
26,2023-11-03 17:08:48,4,de,1452521450,2023-11-03 16:59:39,2023-11-03 17:08:48,Männlich,Österreich,,2001,N,1,2,2,3,4,1,1,1,2,1,2,2,1,1,1,1,1,2,2,2,3,3,4,2,2,2,2,2,2,3,1,1,1,2,2,3,3
27,,,de,1676699423,2023-11-03 19:50:48,2023-11-03 19:50:48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,2023-11-03 20:38:24,4,de,1844694821,2023-11-03 20:30:02,2023-11-03 20:38:24,Weiblich,Österreich,,2002,N,3,2,2,2,2,2,1,1,1,1,1,1,1,2,3,2,2,3,3,3,4,2,2,4,4,1,1,1,2,3,2,2,2,2,3,2,3
29,,2,de,1753964691,2023-11-03 21:34:55,2023-11-03 21:35:36,Männlich,-oth-,Italien,2001,N,5,5,5,5,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,2023-11-05 14:46:49,4,de,1380824282,2023-11-05 14:43:21,2023-11-05 14:46:49,Männlich,Österreich,,2001,N,2,2,1,3,2,3,1,1,2,1,2,2,1,2,3,1,1,3,4,4,3,3,4,3,3,2,2,1,2,3,3,3,3,3,3,3,3
31,2023-11-06 13:43:11,4,de,76779655,2023-11-06 13:20:04,2023-11-06 13:43:11,Weiblich,Österreich,,1992,Y,2,2,1,3,3,1,1,2,1,2,1,1,2,2,2,1,1,2,1,1,2,3,2,2,3,3,3,1,2,1,1,2,2,2,3,4,4
32,2023-11-10 10:21:19,4,de,968391146,2023-11-10 10:14:01,2023-11-10 10:21:19,Männlich,Deutschland,,2000,,3,2,2,2,3,2,3,3,2,4,2,3,2,3,4,2,2,2,3,3,4,2,3,2,3,2,3,3,2,4,3,4,4,3,4,3,2
33,2023-11-15 20:01:41,4,de,430911428,2023-11-15 19:54:55,2023-11-15 20:01:41,Männlich,Österreich,,1997,Y,2,2,1,2,3,2,1,1,2,2,2,1,2,2,2,1,1,3,3,3,4,4,4,4,5,2,4,3,3,1,2,2,3,2,1,1,3
34,,,de,1860194552,2023-11-15 20:25:04,2023-11-15 20:25:04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,2023-11-15 23:45:48,4,de,1384339830,2023-11-15 23:40:29,2023-11-15 23:45:48,Männlich,Österreich,,2000,Y,2,3,1,3,1,1,1,1,2,1,2,3,2,2,3,2,2,2,1,2,2,1,2,2,3,2,2,3,2,3,3,3,3,5,4,5,4
36,2023-11-16 09:23:24,4,de,847957021,2023-11-16 09:15:37,2023-11-16 09:23:24,Weiblich,Österreich,,2001,Y,2,3,2,2,1,2,2,2,1,1,2,3,1,2,3,3,3,1,1,2,2,1,1,1,2,4,4,2,4,4,3,4,5,5,4,2,3
37,2023-11-16 11:16:13,4,de,637331746,2023-11-16 11:11:22,2023-11-16 11:16:13,Männlich,-oth-,GB,1997,Y,3,3,3,4,4,4,2,4,3,5,3,2,2,2,2,2,2,2,2,2,4,2,1,2,2,2,5,3,5,5,4,5,5,3,5,3,4
38,2023-11-16 12:22:17,4,de,2087349793,2023-11-16 12:16:54,2023-11-16 12:22:17,Männlich,-oth-,Italien,2001,N,2,5,4,4,4,3,1,1,3,1,4,2,1,2,3,1,2,4,4,1,2,5,3,4,2,1,3,2,1,2,1,5,2,2,1,2,2
39,2023-11-29 15:23:29,4,de,1638236888,2023-11-29 15:18:49,2023-11-29 15:23:29,Männlich,Österreich,,2001,N,1,1,1,1,1,1,2,1,1,1,1,1,1,2,3,1,1,1,1,4,3,5,3,2,3,1,1,1,1,1,1,2,2,4,3,4,3
